Wall time,Step,Value
1734296393.34801,14743222,910.1577758789062
1734296440.0890095,14746524,913.466064453125
1734296456.3300095,14747692,911.248779296875
1734296545.1070106,14753992,903.2666625976562
1734296619.1480093,14758983,875.4503784179688
1734296648.0160081,14760957,897.5317993164062
1734296654.0020108,14761391,897.8603515625
1734296799.794011,14771160,962.4898681640625
1734296815.9500108,14772308,967.3923950195312
1734296832.5940106,14773487,968.035888671875
1734296870.4820108,14776026,958.7306518554688
1734296891.1140077,14777339,955.299560546875
1734296906.82377,14778364,964.0482177734375
1734296919.8157706,14779213,962.91064453125
1734296935.2267709,14780143,951.2520751953125
1734297017.0077708,14785453,908.5235595703125
1734297034.7807722,14786612,916.1656494140625
1734297086.992771,14789968,907.3092041015625
1734297092.3237705,14790266,878.7921752929688
1734297094.3537707,14790413,881.1533813476562
1734297161.9777696,14795149,865.7918090820312
1734297166.2047687,14795450,866.3241577148438
1734297207.783769,14798428,880.0048217773438
1734297218.4707725,14799191,860.9393920898438
1734297222.7537699,14799495,860.2515258789062
1734297226.9587708,14799793,866.0903930664062
1734297282.74277,14803696,857.5569458007812
1734297359.3187711,14809140,878.6627197265625
1734297374.3927696,14810145,891.8175659179688
1734297393.8367703,14811520,850.4546508789062
1734297401.5317717,14812076,822.3201904296875
1734297436.9667728,14814628,846.9491577148438
1734297510.0997703,14819764,817.1680908203125
1734297516.3667693,14820144,829.8566284179688
1734297530.993771,14821188,835.0620727539062
1734297547.2767708,14822352,838.3433227539062
1734297549.255769,14822495,835.6632690429688
1734297555.6237721,14822950,855.4931030273438
1734297614.1097717,14827065,875.1087036132812
1734297622.0667708,14827635,878.7211303710938
1734297626.3467705,14827938,880.4075317382812
1734297652.5227704,14829807,881.8889770507812
1734297676.5507689,14831441,880.6044311523438
1734297678.5027695,14831581,880.5256958007812
1734297688.3627708,14832301,878.8201904296875
1734297698.5357738,14833043,872.84228515625
1734297775.9557707,14838497,869.5975341796875
1734297813.9477718,14841137,898.54638671875
1734297853.4707701,14843966,900.0287475585938
1734297866.2617698,14844886,907.8290405273438
1734297890.4627745,14846546,919.3363647460938
1734297919.4397707,14848637,923.5444946289062
1734297957.2637706,14851276,918.308349609375
1734297963.8057694,14851734,926.3025512695312
1734298037.4797719,14856961,939.0393676757812
1734298043.6387713,14857407,945.4472045898438
1734298061.6617708,14858696,953.0242919921875
1734298073.8117707,14859574,951.3060913085938
1734298086.67477,14860428,951.998779296875
1734298112.7767706,14862308,954.65087890625
1734298122.8417692,14863033,953.7474365234375
1734298157.6307716,14865453,988.823974609375
1734298167.7687693,14866185,983.0132446289062
1734298177.683769,14866897,986.7560424804688
1734298186.0237691,14867496,984.95751953125
1734298218.5857706,14869843,1000.3134765625
1734298290.3607702,14874896,997.2869873046875
1734298342.0527718,14878542,979.914794921875
1734298417.798769,14883857,992.2289428710938
1734298432.977771,14884935,1010.91748046875
1734298444.990773,14885723,1009.6851806640625
1734298453.3207693,14886315,1005.6844482421875
1734298466.0697708,14887225,1006.21337890625
1734298474.4937718,14887824,1009.5296020507812
1734298510.1027691,14890305,1010.271728515625
1734298531.8947692,14891879,1010.886962890625
1734298562.9247704,14894121,1019.0830688476562
1734298584.2827694,14895590,1027.0960693359375
1734298619.1427708,14898103,1024.4853515625
1734298661.7957716,14901094,1027.8662109375
1734298695.5037696,14903512,1037.6484375
1734298706.1247733,14904281,1042.2080078125
1734298710.3267725,14904586,1045.0281982421875
1734298724.4407692,14905528,1032.0924072265625
1734298743.2287707,14906876,1044.5416259765625
1734298775.6667688,14909213,1042.575439453125
1734298859.2627735,14915091,1038.5186767578125
1734298863.5647712,14915401,1045.8287353515625
1734298869.9967716,14915860,1045.486328125
1734298893.9007733,14917576,1057.9949951171875
1734298908.4857693,14918628,1058.5706787109375
1734298988.8497705,14924309,1081.2333984375
1734299024.3967695,14926786,1098.079345703125
1734299034.8157709,14927532,1098.9542236328125
1734299039.201771,14927844,1104.102783203125
1734299083.1987708,14930901,1119.4449462890625
1734299106.3707707,14932552,1109.4241943359375
1734299137.7467704,14934817,1115.199951171875
1734299160.5627694,14936383,1098.5523681640625
1734299229.4037707,14941244,1092.949951171875
1734299293.2807703,14945760,1087.9859619140625
1734299300.1237705,14946239,1087.8631591796875
1734299312.6277692,14947140,1093.2413330078125
1734299394.4107697,14952948,1115.6317138671875
1734299421.74977,14954894,1100.1600341796875
1734299425.6667705,14955101,1082.5538330078125
1734299429.7047706,14955390,1091.1590576171875
1734299442.2707694,14956284,1104.443115234375
1734299448.4877706,14956729,1107.133056640625
1734299485.9657705,14959413,1130.8182373046875
1734299526.6247704,14962233,1132.609130859375
1734299579.4147701,14965922,1158.5001220703125
1734299587.7767715,14966513,1165.7093505859375
1734299611.8637705,14968249,1166.431640625
1734299630.044771,14969552,1175.7890625
1734299691.1107712,14973760,1166.2449951171875
1734299703.844769,14974654,1130.80908203125
1734299763.3907716,14978598,1119.509521484375
1734299772.6487703,14979203,1123.1661376953125
1734299777.1417701,14979499,1122.1636962890625
1734299807.5157692,14981504,1113.7847900390625
1734299818.2097704,14982260,1108.1309814453125
1734299836.8487725,14983592,1111.5606689453125
1734299876.6667707,14986367,1137.5155029296875
1734299945.8077693,14991215,1149.429931640625
1734299960.0877707,14992247,1152.57958984375
1734299983.0477715,14993903,1158.304443359375
1734299985.1947703,14994060,1156.5267333984375
1734300045.2037709,14998302,1152.730712890625
1734300053.4047718,14998888,1149.7498779296875
1734300057.6227708,14999193,1148.7811279296875
1734300084.7667692,15001072,1133.927978515625
1734300134.849769,15004647,1152.955810546875
1734300160.994769,15006427,1136.3751220703125
